NoiseType,k,Mean,Median(Q2),Q1(25%),Q3(75%),Min,Max,Range
Combined,1,0.9707,0.9667,0.9667,1.0,0.9,1.0,0.1
Combined,2,0.9647,0.9667,0.9333,1.0,0.9,1.0,0.1
Combined,3,0.978,1.0,0.9667,1.0,0.8667,1.0,0.1333
Combined,4,0.9767,0.9833,0.9667,1.0,0.8667,1.0,0.1333
Combined,5,0.9673,0.9667,0.9417,1.0,0.8667,1.0,0.1333
Combined,6,0.9687,0.9667,0.9333,1.0,0.8667,1.0,0.1333
Combined,7,0.9673,0.9667,0.9333,1.0,0.8667,1.0,0.1333
Combined,8,0.9693,0.9667,0.9333,1.0,0.8667,1.0,0.1333
Combined,9,0.9693,0.9667,0.9417,1.0,0.8667,1.0,0.1333
Combined,10,0.97,0.9667,0.9417,1.0,0.8667,1.0,0.1333
Combined,11,0.9687,0.9667,0.9333,1.0,0.8667,1.0,0.1333
Combined,12,0.972,0.9667,0.9417,1.0,0.8667,1.0,0.1333
Combined,13,0.97,0.9667,0.9333,1.0,0.8667,1.0,0.1333
Combined,14,0.9707,0.9667,0.9333,1.0,0.8667,1.0,0.1333
Combined,15,0.9673,0.9667,0.9333,1.0,0.8667,1.0,0.1333
Combined,16,0.968,0.9667,0.9333,1.0,0.8667,1.0,0.1333
Combined,17,0.9667,0.9667,0.9333,1.0,0.8667,1.0,0.1333
Combined,18,0.9687,0.9667,0.9333,1.0,0.8667,1.0,0.1333
Combined,19,0.966,0.9667,0.9333,1.0,0.8667,1.0,0.1333
Combined,20,0.9693,0.9667,0.9417,1.0,0.8667,1.0,0.1333
Combined,21,0.9673,0.9667,0.9417,1.0,0.8667,1.0,0.1333
Combined,22,0.9687,0.9667,0.9417,1.0,0.8667,1.0,0.1333
Combined,23,0.9673,0.9667,0.9417,1.0,0.8667,1.0,0.1333
Combined,24,0.9673,0.9667,0.9417,1.0,0.8667,1.0,0.1333
Combined,25,0.9667,0.9667,0.9417,1.0,0.8667,1.0,0.1333
Combined,26,0.9667,0.9667,0.9417,1.0,0.8667,1.0,0.1333
Combined,27,0.968,0.9667,0.9417,1.0,0.8667,1.0,0.1333
Combined,28,0.9653,0.9667,0.9417,0.9917,0.8667,1.0,0.1333
Combined,29,0.966,0.9667,0.9417,1.0,0.8667,1.0,0.1333
Combined,30,0.9647,0.9667,0.9333,0.9917,0.8667,1.0,0.1333
MeasurementError,1,0.9733,0.9667,0.9667,1.0,0.9333,1.0,0.0667
MeasurementError,2,0.9667,0.9667,0.9667,0.9667,0.9,1.0,0.1
MeasurementError,3,0.9733,0.9667,0.9667,1.0,0.9,1.0,0.1
MeasurementError,4,0.974,0.9667,0.9667,1.0,0.9,1.0,0.1
MeasurementError,5,0.9613,0.9667,0.9333,0.9667,0.8667,1.0,0.1333
MeasurementError,6,0.9693,0.9667,0.9333,1.0,0.9333,1.0,0.0667
MeasurementError,7,0.968,0.9667,0.9417,1.0,0.9333,1.0,0.0667
MeasurementError,8,0.9713,0.9667,0.9667,1.0,0.9,1.0,0.1
MeasurementError,9,0.9687,0.9667,0.9417,1.0,0.9333,1.0,0.0667
MeasurementError,10,0.974,0.9667,0.9667,1.0,0.9333,1.0,0.0667
MeasurementError,11,0.9687,0.9667,0.9417,1.0,0.9333,1.0,0.0667
MeasurementError,12,0.9733,0.9667,0.9667,1.0,0.9,1.0,0.1
MeasurementError,13,0.968,0.9667,0.9333,1.0,0.9,1.0,0.1
MeasurementError,14,0.9727,0.9667,0.9667,1.0,0.9,1.0,0.1
MeasurementError,15,0.9627,0.9667,0.9333,0.9917,0.9,1.0,0.1
MeasurementError,16,0.9667,0.9667,0.9333,1.0,0.9,1.0,0.1
MeasurementError,17,0.9653,0.9667,0.9333,1.0,0.9,1.0,0.1
MeasurementError,18,0.9693,0.9667,0.9667,1.0,0.9,1.0,0.1
MeasurementError,19,0.9633,0.9667,0.9333,0.9917,0.9,1.0,0.1
MeasurementError,20,0.9667,0.9667,0.9333,1.0,0.9,1.0,0.1
MeasurementError,21,0.964,0.9667,0.9333,1.0,0.9,1.0,0.1
MeasurementError,22,0.9647,0.9667,0.9333,1.0,0.9,1.0,0.1
MeasurementError,23,0.9647,0.9667,0.9333,1.0,0.9,1.0,0.1
MeasurementError,24,0.9647,0.9667,0.9333,1.0,0.9,1.0,0.1
MeasurementError,25,0.9647,0.9667,0.9333,1.0,0.9,1.0,0.1
MeasurementError,26,0.9647,0.9667,0.9333,1.0,0.9,1.0,0.1
MeasurementError,27,0.964,0.9667,0.9333,1.0,0.9,1.0,0.1
MeasurementError,28,0.9653,0.9667,0.9333,1.0,0.9,1.0,0.1
MeasurementError,29,0.9647,0.9667,0.9333,1.0,0.9,1.0,0.1
MeasurementError,30,0.9633,0.9667,0.9333,0.9917,0.9,1.0,0.1
Noisy,1,0.972,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,2,0.97,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,3,0.9807,1.0,0.9667,1.0,0.9,1.0,0.1
Noisy,4,0.9793,1.0,0.9667,1.0,0.9,1.0,0.1
Noisy,5,0.9673,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,6,0.974,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,7,0.9713,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,8,0.9753,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,9,0.974,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,10,0.9767,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,11,0.9747,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,12,0.9773,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,13,0.972,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,14,0.9747,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,15,0.9687,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,16,0.9707,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,17,0.9687,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,18,0.972,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,19,0.968,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,20,0.9707,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,21,0.9673,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,22,0.9687,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,23,0.968,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,24,0.9687,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,25,0.968,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,26,0.9673,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,27,0.968,0.9667,0.9667,1.0,0.9,1.0,0.1
Noisy,28,0.9653,0.9667,0.9417,0.9917,0.9,1.0,0.1
Noisy,29,0.966,0.9667,0.9667,0.9917,0.9,1.0,0.1
Noisy,30,0.9627,0.9667,0.9333,0.9667,0.9,1.0,0.1
SingleQubit,1,0.972,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,2,0.97,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,3,0.9807,1.0,0.9667,1.0,0.9,1.0,0.1
SingleQubit,4,0.9793,1.0,0.9667,1.0,0.9,1.0,0.1
SingleQubit,5,0.9673,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,6,0.974,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,7,0.9713,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,8,0.9753,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,9,0.974,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,10,0.9767,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,11,0.9747,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,12,0.9773,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,13,0.972,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,14,0.9747,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,15,0.9687,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,16,0.9707,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,17,0.9687,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,18,0.972,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,19,0.968,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,20,0.9707,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,21,0.9673,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,22,0.9687,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,23,0.968,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,24,0.9687,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,25,0.968,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,26,0.9673,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,27,0.968,0.9667,0.9667,1.0,0.9,1.0,0.1
SingleQubit,28,0.9653,0.9667,0.9417,0.9917,0.9,1.0,0.1
